Node,Type,State,State,State,State,State,State,State,State,State,State,State,State
Slope,Data,Flat,Slope,,,,,,,,,,
Structural Stability,Data,Stable,Unstable,,,,,,,,,,
Organic Matter,Data,Low,Medium,High,,,,,,,,,
pH,Data,Acid,Neutral,Alkaline,,,,,,,,,
Cation Exchange Capacity,Data,Low,High,,,,,,,,,,
Soil Depth,Data,Shallow,Deep,,,,,,,,,,
Water Buffering,Subjective,Bad,Good,,,,,,,,,,
Structure,Data,Bad,Good,,,,,,,,,,
Soil Biology,Subjective,Poorly functioning,Medium Functioing,Highly Functioning,,,,,,,,,
Nutrient Buffering,Subjective,Low,High,,,,,,,,,,
Productivity,Data,Low,Medium,High,,,,,,,,,
Resilience,Subjective,Resilient,Not resilient,,,,,,,,,,
Ecosystem Services,Subjective,Low,Medium,High,,,,,,,,,
SQH,Subjective,Low,Medium,High,,,,,,,,,
