"nodeOrder","Node","Type","State","State.1","State.2","State.3","State.4","State.5","State.6","State.7","State.8","State.9","State.10","State.11"
1,"Slope","Data","Flat","Slope","","","","","","","","","",""
2,"Structural Stability","Data","Stable","Unstable","","","","","","","","","",""
3,"Organic Matter","Data","Low","Medium","High","","","","","","","","",""
4,"pH","Data","Acid","Neutral","Alkaline","","","","","","","","",""
5,"Cation Exchange Capacity","Data","Low","High","","","","","","","","","",""
6,"Soil Depth","Data","Shallow","Deep","","","","","","","","","",""
7,"Water Buffering","Subjective","Bad","Good","","","","","","","","","",""
8,"Structure","Data","Bad","Good","","","","","","","","","",""
9,"Soil Biology","Subjective","Poorly functioning","Medium Functioing","Highly Functioning","","","","","","","","",""
10,"Nutrient Buffering","Subjective","Low","High","","","","","","","","","",""
11,"Productivity","Data","Low","Medium","High","","","","","","","","",""
12,"Resilience","Subjective","Resilient","Not resilient","","","","","","","","","",""
13,"Ecosystem Services","Subjective","Low","Medium","High","","","","","","","","",""
14,"SQH","Subjective","Low","Medium","High","","","","","","","","",""
